FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Class
128,2021-05-26,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
129,2021-06-03,Falcon 9,3328.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
130,2021-06-06,Falcon 9,7000.0,GTO,CCSFS SLC 40,Success,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
131,2021-06-17,Falcon 9,3681.0,MEO,CCSFS SLC 40,Success,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
132,2021-06-30,Falcon 9,8191.079109589042,SSO,CCSFS SLC 40,Success,8,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
133,2021-08-29,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,4,True,True,True,5e9e3033383ecb075134e7cd,,,,1
134,2021-09-14,Falcon 9,15600.0,PO,VAFB SLC 4E,Success,10,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
135,2021-09-16,Falcon 9,8191.079109589042,LEO,KSC LC 39A,Success,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
136,2021-11-11,Falcon 9,12519.0,ISS,KSC LC 39A,Success,2,True,True,True,5e9e3033383ecb075134e7cd,,,,1
137,2021-11-13,Falcon 9,13260.0,LEO,CCSFS SLC 40,Success,9,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
138,2021-11-24,Falcon 9,670.0,TLI,VAFB SLC 4E,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
139,2021-12-01,Falcon 9,13260.0,PO,CCSFS SLC 40,Success,9,True,True,True,5e9e3033383ecb075134e7cd,,,,1
140,2021-12-09,Falcon 9,330.0,LEO,KSC LC 39A,Success,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
141,2021-12-18,Falcon 9,13260.0,PO,VAFB SLC 4E,Success,11,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
142,2021-12-19,Falcon 9,3500.0,GTO,CCSFS SLC 40,Success,3,True,True,True,5e9e3033383ecb075134e7cd,,,,1
143,2021-12-21,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
144,2022-01-06,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,4,True,True,True,5e9e3033383ecb075134e7cd,,,,1
145,2022-01-13,Falcon 9,8191.079109589042,LEO,CCSFS SLC 40,Success,10,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
146,2022-01-19,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,10,True,True,True,5e9e3033383ecb075134e7cd,,,,1
147,2022-01-31,Falcon 9,2240.0,SSO,CCSFS SLC 40,Success,3,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
148,2022-02-02,Falcon 9,8191.079109589042,LEO,VAFB SLC 4E,Success,1,True,False,True,5e9e3032383ecb554034e7c9,,,,1
149,2022-02-03,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,6,True,True,True,5e9e3033383ecb075134e7cd,,,,1
150,2022-02-21,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,11,True,True,True,5e9e3033383ecb075134e7cd,,,,1
151,2022-02-25,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
152,2022-03-03,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,11,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
153,2022-03-09,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,4,True,True,True,5e9e3033383ecb075134e7cd,,,,1
154,2022-03-19,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,12,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
155,2022-04-01,Falcon 9,8191.079109589042,SSO,CCSFS SLC 40,Success,7,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
156,2022-04-08,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,5,True,True,True,5e9e3033383ecb075134e7cd,,,,1
157,2022-04-17,Falcon 9,8191.079109589042,LEO,VAFB SLC 4E,Success,2,True,True,True,5e9e3032383ecb554034e7c9,,,,1
158,2022-04-21,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,12,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
159,2022-04-27,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,4,True,True,True,5e9e3033383ecb075134e7cd,,,,1
160,2022-04-29,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,6,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
161,2022-05-06,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,12,True,True,True,5e9e3033383ecb075134e7cd,,,,1
162,2022-05-13,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
163,2022-05-14,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
164,2022-05-18,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,5,True,True,True,5e9e3033383ecb075134e7cd,,,,1
165,2022-05-25,Falcon 9,8191.079109589042,SSO,CCSFS SLC 40,Success,8,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
166,2022-06-08,Falcon 9,3938.0,GEO,CCSFS SLC 40,Success,7,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
167,2022-06-01,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,13,True,True,True,5e9e3033383ecb075134e7cd,,,,1
168,2022-06-18,Falcon 9,2200.0,SSO,VAFB SLC 4E,Success,3,True,True,True,5e9e3032383ecb554034e7c9,,,,1
169,2022-06-19,Falcon 9,700.0,LEO,CCSFS SLC 40,Success,9,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
170,2022-06-29,Falcon 9,3500.0,MEO,CCSFS SLC 40,Success,2,True,True,True,5e9e3033383ecb075134e7cd,,,,1
171,2022-07-07,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,13,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
172,2022-07-11,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
173,2022-07-15,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,5,True,True,True,5e9e3033383ecb075134e7cd,,,,1
174,2022-07-17,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,13,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
175,2022-07-21,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
176,2022-07-24,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,8,True,True,True,5e9e3033383ecb075134e7cd,,,,1
177,2022-08-04,Falcon 9,678.0,TLI,CCSFS SLC 40,Success,6,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
178,2022-08-09,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,3,True,True,True,5e9e3033383ecb075134e7cd,,,,1
179,2022-08-12,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,10,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
180,2022-08-19,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,9,True,True,True,5e9e3033383ecb075134e7cd,,,,1
181,2022-08-28,Falcon 9,13260.0,VLEO,KSC LC 39A,Success,2,True,True,True,5e9e3033383ecb075134e7cd,,,,1
182,2022-08-31,Falcon 9,13260.0,VLEO,VAFB SLC 4E,Success,7,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
185,2022-09-17,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,6,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
186,2022-09-24,Falcon 9,13260.0,VLEO,CCSFS SLC 40,Success,4,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
187,2022-10-05,Falcon 9,8191.079109589042,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
